"Passage","Tag"
"Was he ?"" said Lilly. "" I didn't see hir n!"" "" But when did you see hirn P"" asked Philip. "" Well, I think it was Tuesday — no, it was Wednesday, when he went away in the shander-a-dan — I saw hir n!"" "" What, hasn't he been here since ?"" exclaimed Philip. ""I don't know,"" said Lilly, with an air of strange uncer- tainty. • ""","domestic"
"‚Ä¢-You will find/' said Brerewood, handing the paper to Mr. Gayley, \that many very honourable names precede yours ; but, without flattery to you, gentlemen, I think I may apply to yours the old saying, ' Though last, not least.' \"" I heard the paper crackle as it was unfolded, and Mr. Gayley began, \""We, the under- signed ‚Äî \"" I could stand it no longer, and, yielding to an uncontrollable impulse, I threw open the door of the closet, and stepped out into the room before them. CHAPTER XII. I CONFRONT BREREW00D AND HIS FRIENDS. You may imagine their amazement. They all jumped up from their seats and one or two drew their swords. I was the first to speak, ‚Äî \"" Gentlemen, I have unintentionally and accidentally ‚Äî \"" \""Who are you, sir, who thus play the eaves- dropper?""","domestic"
"""' I !"" exclaimed John in alarm (he might lose even the twenty thousand pounds if he roused that "" excitability "" of which Sir Lionel had complained). "" I, disappointed ? No, dear Sir Lionel ! you do me a great Injustice. I may feel [or yo7i, compelled by a sense of justice, which the world would laugh at as Quixotic and overstrained, to leave such sums of ready money in hands which ‚Äî so you fear at least ‚Äî will not make the best use of them. But what right have I, a distant cousin, owing every- thing to your bounty ‚Äî what right have I to expect anything ? None ; nor can I bear that you should believe that my attachment to you is interested.","domestic"
"I only know it would be a bad business for him if I heard him. It would be a case of knock- ing him downstairs at the least. There, ‚Äî it is striking four. Ought I to be going away r *' Yes, I should think you ought.\ *' Why ?""","domestic"
"But you, Dorian, with your pure, bright, innocent face, and your marvellous untroubled youth‚ÄîI can't believe anything against you. And yet I see you very seldom, and you never come down to the studio now, and when I am away from you, and I hear all these hideous things that people are whispering about you, I don't know what to say. Why is it, Dorian, that a man like the Duke of Berwick leaves the room of a club when you enter it? Why is it that so many gentlemen in London will neither go to your house nor invite you to theirs? You used to be a friend of Lord Staveley. I met him at dinner last week. Your name happened to come up in conversation, in connection with the miniatures you have lent to the exhibition at the Dudley.","domestic"
"Alfred had kept very quiet since his last adventure, the particulars of which were indeed sufficiently ludic- rous. It seems that he had assumed the Albanian dress on the evening of the revolution, and gone forth on an attic \ lark.\"" The partiality of the disciples of Brickies to fancy di'esses is well known ; they are the male \"" bloomers \"" of the age in their tastes ‚Äî and Alfred sallied forth on this occasion in no ordinary spirits. Being addressed in the Greek tongue in the Cafe cle V Europe, he rejoiced in the opportunity of *^ chaffing\"" a nation in a language which, though known about the \"" coal hole,\"" and other similar neighbourhoods, had not as yet (though I doubt not it will, the \""fast\"" school- master being abroad) become familiar to the inhabitants of the East. The result was a row, and the hustling of the youth into his hotel, previously described. Per- haps the person who felt dullest about this time, of the party, was ^Irs.""","other"
"How dare you presume to enter here ? "" and she trembles with passion. "" Now look here, my dear madam,"" says VOL. I. IG Tom, "" I don't know who you are or what you are, nor do I care the husk of a nut, but I am a theatrical man, and I won't hear the profession run down."" "" Young man ! "" screams Miss Minerva, starting to her feet. "" Old woman ! "" answers Tom, springing to his feet.","domestic"
"And are you sure she did not curse me ? Martin. I am sure she did not curse you > because she prayed so heartily, to have her sins forgiven; and sure she durst not pray for that, if she did not for- give others. She did not often talk of you, indeed, I heard Biddy say ; but when she did, she said, the worst wish she wished you, was, that you might re- pent of the usage you gave her, before you came to lie on such a bed as she lay on ; and sure that was not like cursing ? Thady. Oh then, my own mind curses me, and I can't go from that.","other"
"I had better not read this, perhaps,' said Olive, hesitatingly. ' Oh yes, you may read that. I have told VOL. I. D you yoLi may, and it was to be as I thought best : but no more — not one more. You will find me very strict about these things, Olive.","domestic"
"Neither do I,\ I admitted, candidly; \""but I suppose the architect will do so.\"" \"" I think I can see how it could be man- aged by means of a gallery,\"" said Mr. Marten, criticising my rough plan ; \"" but as you say, these details are best left to pro- fessional skill.\"" \"" And how many bedrooms do you mean to have?'' asked Ruth. \"" I think of five,\"" I replied. \"" One for the heads of the family, extending over the study, one over the kitchen, two over the parlour, and a little extra chamber above the hall.\"" \"" Then you intend the study and the parlour to be rather large ?\"" remarked Mr. llarten. ''Each about sixteen feet by fifteen,\"" I answered. \"" But I never thought a man with two hundred a year could live in so large a house as this,\"" he said, very briskly. \"" I mean it for an income of two hundred exclusive of house rent,\"" I replied.""","domestic"
