Provenance,ID,Passage,OriginalTag,Explanation,Assignment,Title,Author,Date,Filename,TruthTag,KeyPhrase,Explanation,Tagger1,Reviewer,ReviewTag,ReviewExplanation,
Round 2 Annotations,0669_443_449,"Was he ?"" said Lilly. "" I didn't see hir n!"" "" But when did you see hirn P"" asked Philip. "" Well, I think it was Tuesday ‚Äî no, it was Wednesday, when he went away in the shander-a-dan ‚Äî I saw hir n!"" "" What, hasn't he been here since ?"" exclaimed Philip. ""I don't know,"" said Lilly, with an air of strange uncer- tainty. ‚Ä¢ """,IDK,"dialogue, could be domestic",Jessica,The story of Lilly Dawson / by Mrs. Crowe.,"Crowe, Catherine",10/6/2008,669.txt,domestic,"the
          
          door of the house was open, and he had found his way to the
          
          kitchen in search of somebody to speak to.",You don't have to scroll too far for the text to declare that this dialogue takes place in the kitchen of a house. ,Jessica,Alex,DOMESTIC,See Explanation,
1000 Annotations,1940_6966_6972,"Yhatever he had done, it was to establish the petticoated hornet in the dignity of matron of a champion light-weight's wholesome retreat of a public-house. A spell of his larkish hilarity was for the punishment of the girl devoted to his heroical performances, as he still consid- ered her to be, though women are notoriously volatile, and her language was mounting a stage above the kitchen. Madge had little sorrow for Mm. She was the girl of the fiery heart, not the large heart ; she coiild never be devoted to more than one at a time, and her mistress had all her heart. In relation to Kit, the thought of her having sacrificed her good name to him, flung her on her pride of chastity, without the reckoning of it as a merit. It was the inward assurance of her indepen- dence: the young spinster's planting of the standard of her proud secret knowledge of what she is, let it be a thing of worth or what you will, or the world think as it may. That was her thought.",NA,,Jessica,The amazing marriage,"Meredith, George",1895,1940.txt,IDK,her language was mounting a stage above the kitchen,I truly cannot tell whether this kitchen is a personal one or one at an inn or something. ,Jessica,Alex,OTHER,"I think they meet outdoors. ""At Esslemont Park gates, one winter afternoon of a 
Northeast wind blowing ""rum-shrub into men for a 
stand against rheumatics,"" as he remarked, Ines met 
the girl by appointment, and informing her that he 
had money, and that Lord Fleetwood was ""a black 
nobleman,"" he proposed immediate marriage. "" """,
1000 Annotations,1980_4703_4709,"‚Äö√Ñ¬¢-You will find/' said Brerewood, handing the paper to Mr. Gayley, \that many very honourable names precede yours ; but, without flattery to you, gentlemen, I think I may apply to yours the old saying, ' Though last, not least.' \"" I heard the paper crackle as it was unfolded, and Mr. Gayley began, \""We, the under- signed ‚Äö√Ñ√Æ \"" I could stand it no longer, and, yielding to an uncontrollable impulse, I threw open the door of the closet, and stepped out into the room before them. CHAPTER XII. I CONFRONT BREREW00D AND HIS FRIENDS. You may imagine their amazement. They all jumped up from their seats and one or two drew their swords. I was the first to speak, ‚Äö√Ñ√Æ \"" Gentlemen, I have unintentionally and accidentally ‚Äö√Ñ√Æ \"" \""Who are you, sir, who thus play the eaves- dropper?""",NA,,Jessica,Frank Allerton : an autobiography,Mongredien Augustus 1807 1888,1878,1980.txt,domestic,"In another moment, after being detained a 
little depositing their hats, cloaks, and sticks 
on the hall table, Brerewood and Ins friends 
entered the study. 


""Rather a poor, poky old place, this of 
Uppenham's ! "" said a loud, gruff voice; ""but 
I suppose he's not rich, poor devil! Eh, 
Brerewood ? "" ","It's clear early on that this passage is from the perspective of someone eavesdropping in a closet, but I scrolled way up to make sure that the closet is part of a larger domestic space, not a temporary living space or office space. ",Jessica,Alex,DOMESTIC,"Agree. ""There was a roomy closet in the study, 
which my uncle used as a store-room for the 
reception of pamphlets, old maps, snuff- jars, 
garden coats, &c. ; in this I quickly ensconced 
myself, drawing the door close to.""",
"Unfiltered Annotation, Round 31",1753_5265_5271,"""' I !"" exclaimed John in alarm (he might lose even the twenty thousand pounds if he roused that "" excitability "" of which Sir Lionel had complained). "" I, disappointed ? No, dear Sir Lionel ! you do me a great Injustice. I may feel [or yo7i, compelled by a sense of justice, which the world would laugh at as Quixotic and overstrained, to leave such sums of ready money in hands which ‚Äö√Ñ√Æ so you fear at least ‚Äö√Ñ√Æ will not make the best use of them. But what right have I, a distant cousin, owing every- thing to your bounty ‚Äö√Ñ√Æ what right have I to expect anything ? None ; nor can I bear that you should believe that my attachment to you is interested.",IDK,,Jessica,Riding out the gale : a novel,Lyster Annette,1877,1753.txt,domestic,"Sir Lionel arose and marched across the 
room to throw his bedroom door wide open,, 
haunted by the recollection of James's crime. ","There is another line closer to this passage in which one character recommends that another go to bed, but this line I've highlighted confirms that the scene takes place in Sir Lionel's own house. ",Jessica,Alex,DOMESTIC,Agreed--that line confirms it and the conversation doesn't move.,
1000 Annotations,0639_4610_4616,"I only know it would be a bad business for him if I heard him. It would be a case of knock- ing him downstairs at the least. There, ‚Äö√Ñ√Æ it is striking four. Ought I to be going away r *' Yes, I should think you ought.\ *' Why ?""",NA,,Mark,Dorcas,"Craik, Georgiana Marion",1879,639.txt,domestic,"The word had slipped out naturally first when he was saying something about her to her mother, and afterwards he apologized to her for having said it, when they were alone.",Somewhat unclear (Frequent mentions of skating on ponds) but scene seems to be taking place in Dorcas' home,Mark,Alex,DOMESTIC,Discussed in last meeting. No clear indication of where it happens but it must be in a domestic space. Domestic space as null space for conversation among upper classes.,
1000 Annotations,3171_4240_4246,"But you, Dorian, with your pure, bright, innocent face, and your marvellous untroubled youth‚Äö√Ñ√ÆI can't believe anything against you. And yet I see you very seldom, and you never come down to the studio now, and when I am away from you, and I hear all these hideous things that people are whispering about you, I don't know what to say. Why is it, Dorian, that a man like the Duke of Berwick leaves the room of a club when you enter it? Why is it that so many gentlemen in London will neither go to your house nor invite you to theirs? You used to be a friend of Lord Staveley. I met him at dinner last week. Your name happened to come up in conversation, in connection with the miniatures you have lent to the exhibition at the Dudley.",NA,,Mark,The Picture of Dorian Gray. By Oscar Wilde,"Wilde, Oscar",[1891],3171.txt,domestic,"Hallward shook his head, as he entered, and followed Dorian into the library. There was a bright wood fire blazing in the large open hearth.",Takes place in Dorian's house (in the library),Mark,Alex,DOMESTIC,"""Dorian looked at him and smiled. “What a way

for a fashionable painter to travel! A Gladstone

bag, and an ulster! Come in, or the fog will get

into the house.""",
1000 Annotations,1212_3887_3893,"Alfred had kept very quiet since his last adventure, the particulars of which were indeed sufficiently ludic- rous. It seems that he had assumed the Albanian dress on the evening of the revolution, and gone forth on an attic \ lark.\"" The partiality of the disciples of Brickies to fancy di'esses is well known ; they are the male \"" bloomers \"" of the age in their tastes ‚Äö√Ñ√Æ and Alfred sallied forth on this occasion in no ordinary spirits. Being addressed in the Greek tongue in the Cafe cle V Europe, he rejoiced in the opportunity of *^ chaffing\"" a nation in a language which, though known about the \"" coal hole,\"" and other similar neighbourhoods, had not as yet (though I doubt not it will, the \""fast\"" school- master being abroad) become familiar to the inhabitants of the East. The result was a row, and the hustling of the youth into his hotel, previously described. Per- haps the person who felt dullest about this time, of the party, was ^Irs.""",NA,,Mark,Sketches in ultra-marine ..,Hannay James 1827 1873,1853,1212.txt,other,"The English people abroad always assume brevet social rank, and cut their proper equals, if they get a chance.","Mostly non-spatial, but description alludes to a Table d'host in a restaurant as well as being clear that the characters are abroad.",Mark,Alex,OTHER,"Definitely other, between the gestures at setting and this chatty, summarizing voice. The passage mentions entering a café, further up mentions that ""the scene of our story is still classic"", and further down it clarifies that it's set in Athens. ",
"Unfiltered Annotation, Round 23",1408_2580_2586,"How dare you presume to enter here ? "" and she trembles with passion. "" Now look here, my dear madam,"" says VOL. I. IG Tom, "" I don't know who you are or what you are, nor do I care the husk of a nut, but I am a theatrical man, and I won't hear the profession run down."" "" Young man ! "" screams Miss Minerva, starting to her feet. "" Old woman ! "" answers Tom, springing to his feet.",IDK,,Mark,"A very mad world, or, Myself and my neighbour fair",Hudson Frank novelist,1889,1408.txt,domestic,"Off the morning-room is a small writing-closet, the door of which is hung with one of those Oriental reed curtains — those curious arrangements which can be seen through, and which render the objects seen quite visionary. Well, here I sit writing in this ante-room as the morning sun streams through the painted window.",Writing closet in a house,Mark,Alex,DOMESTIC,See Explanation,
Round 2 Annotations,1646_4617_4623,"And are you sure she did not curse me ? Martin. I am sure she did not curse you > because she prayed so heartily, to have her sins forgiven; and sure she durst not pray for that, if she did not for- give others. She did not often talk of you, indeed, I heard Biddy say ; but when she did, she said, the worst wish she wished you, was, that you might re- pent of the usage you gave her, before you came to lie on such a bed as she lay on ; and sure that was not like cursing ? Thady. Oh then, my own mind curses me, and I can't go from that.",IDK,"dialogue, could be domestic",Sophie,Cottage dialogues among the Irish peasantry,"Leadbeater, Mary",1811,1646.txt,other,"Now there's the turn in the road, we 
can't see it any more. ","KeyPassage: page 368. They are at a funeral, watching people with the coffin pass by.",Sophie,Alex,OTHER,Explanation,
Round 2 Annotations,1420_343_349,"I had better not read this, perhaps,' said Olive, hesitatingly. ' Oh yes, you may read that. I have told VOL. I. D you yoLi may, and it was to be as I thought best : but no more ‚Äî not one more. You will find me very strict about these things, Olive.",IDK,"dialogue, could be domestic",Sophie,The leaden casket : a novel,Hunt Alfred William Mrs 1831 1912,1880,1420.txt,domestic,"Dr. Brooke did trust her, and Olive went 
and arrived at her grandfather's house late in 
the evening, when the air was golden with 
sunset.",KeyPassage: page 23. Olive is in a room at her grandfather¥s house.,Sophie,Alex,DOMESTIC,See Explanation,
