,Passage,Tag,Unnamed: 2,not_trash,trash
0,"Hall is well worthy to look out upon such a surrounding as this, standing as it does upon a green terrace, just as fine an old mansion as a moderate Englishman would wish to own. Beyond the lawn and garden plots, numerous secluded walks make a dive into where the shrubbery is thickest, and lead rapidly down towards the Ash which babbles to the sun through a shadowy fret- work of birch and elm and pine. The whole place, at the time of which we write, was kept in admirable order by the gardener, a quaint old Scotsman, named Willie Scott, whom Mr Alton had brought from his native north many years before ; but who, in spite of all his English surroundings, still retained his national manners and dialect, and also that rugged pride which is peculiar to those who have been born and reared in the land of cakes and heather. From his long and intimate connection with them, he stood upon very little ceremony with the family ; and by many of their visitors he was regarded as a natural curiosity. Mr Alton's friends generally bestowed more time upon him than they would spend over the rarest of his exotics ; they took a pleasure in his con- versation, and respected him as a grand improve- ment on the Scotsman one meets in the City, who has come to the south that his keen brains may have a wider and a more lucrative field, who left his nationality when he' crossed the Tweed, and who, seemingly, studies to look as ridiculous as possible by the style in which, he apes the English airs and speech. Some of the Ashfield visitors took a good- natured delight in bothering the old man about s ome of his national peculiarities, but Willie was quite able to give, as he took, with the utmost good humour ; and it was rarely that he showed the red glow of his wrath ; but at times, when a visitor might verge on the impudent, he would sting him into a better grace. The lodge at the entrance to the grounds was his home, where he slept alone ; but, for the last few years, a girl from the village was in attendance during the day to make ready his meals, and, as he would say, ' to make the place snod.",not_trash,,0.6550418,0.34495822
1,"The man who would map out the currents of the ocean would confer a signal benefit upon his race and accomplish a most labo- rious task-, butlfe who would trace and expose all the under currents of a court would undertake a more herculean enterprise still. Nor can the wisest and the best of those who rule the destinies of men escape such pernicious influences. They can but judge by what they see, while it is what they do not see which is bearing them wrong. They may consult the magnet or the pole star, they may reckon closely and well, but they can neither calculate nor perceive those under cur- rents which are bearing them upon the shoals or rocks of injustice or of danger. Nor are they in most cases to blame. Suffice it, if in regard to great and plain facts where there can be no deceit, their unassisted judgment leads them right. I myself, accustomed to courts, have seen the wisest, the very firmest of men misled to do small acts of wrong to their most deserv- ing of friends.",not_trash,,0.5987822,0.40121785
2,"He had thrown the brand of wickedness and rebellion upon earth, and it must be his destiny to see it shoot forth its fires in ten thousand terrible and devastating forms. The overwhelming misery of Nichar's spirit nothing but such a spirit can know. He groaned, and sickened through the farthest depths of his soul, and turned to escape from the fiery scourge of his own thought; but there was no hope — no peace — no escape; — eternity was before — vengeance behind ; and pain, and evil, and remorse, moulded into the very vitality of his being. But the rage of his agony gave him power. He rushed furiously upon the demonian troop, and attempted to snatch Lilith from among them. It was vain ! They closed fearlessly and firmly round her, and he beheld her smile upon them in cordial approbation.",not_trash,,0.74636036,0.25363964
3,"But Henry always had the comfortable faculty of throwing off any feeling of com- punction which occasionally visited him ; and I had no doubt by this time he had com- pletely absolved himself from blame. CHAPTER V. Of the week which followed my father's death I will not write. Who is so fortunate as not to know, by bitter experience, tlie miseries of such a period : the darkened Iiouse, the stealthy footsteps, the whisperin^^ voices, the glimpses occasionally caught of strange men in shabby suits of black, the smothered tread of the same grim attendants in a house of mourning, as they pass the door of the room where you are weeping, carrying with them that weighty thing, which, senseless as it is, sends a cold shudder to the heart as it gives audible tokens of its presence, care- fully as it is taken up the stairs? I believe all these things are unknown to the rich and great : that fashion carries the D 5 living from the abode of the dead ; and though they may take sorrow within their hearts, they leave the gloom and outward evidences of its existence to servants and hired mourners. We tasted the full bitterness of death ; and when my father was laid in the grave, and light and sound once more admitted within our dwelling, ray heart seemed still more saddened by the contrast they offered to my feelings.",not_trash,,0.4315653,0.5684346
4,"It so, and let us part, Since love like mine has fail'd to move thee,"" a mist came over her eyes ; and unable to go on, she told Mrs. Felton she would, with her leave, keep them to read at her leisure. "" By all means,"" replied Mrs. Felton. "" The poor soul was very dismal when he wrote them; but those hours of gloom are over, and I trust that happier days are in store for him. I have a miniature of St. Aubyn at home,"" she added, "" which I will show you some day or other.'* Emma now, affecting great gaiety, talked very fast, and laughed very loud, though she said nothing at all laughable ; and and seeing Mr. Egerton^ she challenged him to walk three times round the Thuilleries gardens before dinner ; while Mrs. Felton, thinking she had said all that was necessary to convince Emma that St. Aubyn was attached to herself, bade her farc'.vel till the next day ; convinced that, though Emma secretly preferred St. Au- byn to Balfour, pride would in all proba* bility induce her to make an effort to over- come her passion, and thereby render certain an union which at present was only probable ; "" and then,"" thought Mrs. Felton, '' St. Aubyn may perhaps be mine ! '' It required all Mr. Egerton's speed to keep up in any degree with Emma during their walk.",not_trash,,0.7724797,0.22752035
5,"But, better ; he had discovered how wrong his late exhibition of it was, sprang up, ran after little Mabel, took her up in his arms, explained all the mysteries of the show to her, delighted her with his interest, and as he felt the soft, plump arm so lovingly encircle his neck, the fair, cool face against his own flushed cheek, was ready to smile at his late troubles. The walking party came in soon after five^ mostly thoroughly tired, but Anna still in wild spirits, whilst Mary was ready to cry with vexation and weari- ness, and three rents in her dress, which the neatest darns could never thoroughly cover ; in truth, the poor girl had had neither strength nor spirits for the wild scramble into which Anna had inveigled them. 'Well, John,' said Frank, when the ladies went up to prepare for tea, ' and what have you been doing V * I ! — oh, lying about,' John answered, a little — just a little — dash of sullenness and reproach in his tone. 'Lying? What, I tired you in the morning,' cried Frank, full of concern in a moment ; ' why didn't you tell me 1 you must have wanted some one to read to you.' Frank's tone of sorrow and innocence made John hate himself for his late rankling resentment. * Oh, no !' he answered brightly ; ' I could have read to myself if I'd cared about it ; and mamma offered to read.",not_trash,,0.6423489,0.35765103
6,"THE LAWS OF WAR AFFECTING COMMERCE AND SHIPPING. By H. BYERLEY THOMSOX, of the Inner Temple. Second Edition, greatly enlarged. 8vo, price 45. %d. hoards. LECTURES ON the ENGLISH HUMOURISTS OF THE 18th CENTURY. By W. M.",trash,,0.46035695,0.5396431
7,"This is the only part of the reverend gentleman's letter that directly affects this history. The rest contains some scandal concerning greater personages about the court; a great share of abuse of the Elector of Hanover, and a pretty description of a boxing-match at Mr. Figg's amphitheatre in Oxford Road, where John Wells, of Edmund Bury (as by the papers may be seen), master of the noble science of self-defence, did engage with Edward Sutton, of Gravesend, master of the said science, and the issue of the combat. “N. B. (adds the father, in a postscript) Monsieur Figue gives a hat to be cudgelled for before the Master mount, and the whole of this fashionable information hath been given me by monseigneur's son, Monsieur Billings, garçon-tailleur, Chevalier de Galgenstein.” Mr. Billings was, in fact, a frequent visitor at the ambassador's house; to whose presence he, by a general order, was always admitted. As for the connexion between Mrs. Catherine and her former admirer, the abbé's history of it is perfectly correct; nor can it be said that this wretched woman, whose tale now begins to wear a darker hue, was, in any thing but soul, faithless to her husband. But she hated him, longed to leave him, and loved another; the end was coming quickly, and every one of our unknowing actors and actresses were to be implicated, more or less, in the catastrophe.",not_trash,,0.69142216,0.30857784
8,"He continued to investigate town and country in search of her, visiting and re-visiting Nightmare Abbey at intervals, to consult with his friend Mr. Glowry. Mr. Glowry agreed with Mr. Toobad that this was a very flagrant instance of filial disobedience and rebellion; and Mr. Toobad declared, that, when he discovered the fugitive, she should find that “the devil was come unto her, having great wrath.” In the evening, the whole party met, as usual, in the library. Marionetta sat at the harp; the Honorable Mr. Listless sat by her, and turned over her music, though the exertion was almost too much for him. The Reverend Mr. Larynx relieved him occasionally in this delightful labour. Scythrop, tormented by the demon Jealousy, sat in the corner, biting his lips and fingers. Marionetta looked at him every now and then with a smile of most provoking good humour, which he pretended not to see, and which only the more exasperated his troubled spirit.",not_trash,,0.67768735,0.3223126
9,"York stood on the threshold of the porch; he advanced a few steps beyond; a new fear possessed the fellow. “He will escape!—halloo! —James!—Martin!” The very words imparted the thought to the Prince, who filled erewhile with wonder and religious awe, had forgotten his own sad plight. He turned to the man, who was doubtful whether to rush into the chapel for his comrades, or singly to seize his prisoner—his dagger was drawn. “Put up that foolish steel,” said York, “it cannot harm one whom God calls to freedom—listen, he speaks;—farewell!” The lightning again flashed: with blue and forked flame it ran along the blade of the weapon raised against him; with a shriek the man dashed it to the earth.",not_trash,,0.6555464,0.34445363
